|Order ID|Date/Time|Code|Type|Quantity|Filled Quantity|Price per unit|Expiry|Status|
|5|29 Apr 2026 09:59:22|VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF|VGS|AUS|VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF|Buy|33|33|$148.39 AUD|Day only|Filled|
|4|20 Apr 2026 10:00:22|VANGUARD AUSTRALIAN SHARES INDEX ETF|VAS|AUS|VANGUARD AUSTRALIAN SHARES INDEX ETF|Buy|9|9|$110.74 AUD|Day only|Filled|
|3|10 Mar 2026 10:36:33|VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF|VDHG|AUS|VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF|Buy|8|8|$72.85 AUD|Day only|Filled|
|1|17 Feb 2021 10:25:18|LITTLE GREEN PHARMA LTD|LGP|AUS|LITTLE GREEN PHARMA LTD|Buy|1,415|1,415|$0.70 AUD|19/02/2021|Filled|
